Date,Hkin Caps
6/7/19,888.913936
6/8/19,1324.072272
6/9/19,1324.331595
6/10/19,563.0966394
6/11/19,1324.748646
6/12/19,1324.907449
6/13/19,889.7569711
6/14/19,889.8202726
6/15/19,563.3660799
6/16/19,889.8833941
6/17/19,889.8836851
6/18/19,889.8633998
6/19/19,889.8227075
6/20/19,1325.040881
6/21/19,889.6806463
6/22/19,563.1870101
6/23/19,563.1103032
6/24/19,889.3171947
6/25/19,562.9189789
6/26/19,1323.869334
6/27/19,888.7739852
6/28/19,1323.240528
6/29/19,888.3114599
6/30/19,562.2185694
7/1/19,887.7676452
7/2/19,887.4648623
7/3/19,887.1412361
7/4/19,1320.625065
7/5/19,1320.079994
7/6/19,886.0429225
7/7/19,885.6334294
7/8/19,885.2017294
7/9/19,1317.573588
7/10/19,1316.863001
7/11/19,1316.117728
7/12/19,883.2457311
7/13/19,882.6974703
7/14/19,1313.667649
7/15/19,1312.777352
7/16/19,880.9034989
7/17/19,557.2832324
7/18/19,#N/A
7/19/19,1308.829147
7/20/19,1307.74152
7/21/19,1306.612063
7/22/19,1305.439942
7/23/19,1304.224311
7/24/19,1302.964304
7/25/19,1301.659044
7/26/19,1300.307643
7/27/19,1298.9092
7/28/19,1297.462805
7/29/19,1295.967541
7/30/19,1294.422484
7/31/19,1292.826706
